traits	species
T09282	anthrax
T09399	anthrax
T09841	anthrax
T09842	anthrax
T09934	anthrax
V055	anthrax
T09512	dumus
T09536	dumus
T09949	dumus
T09951	dumus
14422	n.sp.
14482	n.sp.
14483	n.sp.
14484	n.sp.
14485	n.sp.
P161	n.sp.
P162	n.sp.
P18038	nicoi.gr1+gr2
P18043	nicoi.gr1+gr2
P18073	nicoi.gr1+gr2
P4647	nicoi.gr1+gr2
T027	nicoi.gr1+gr2
T078	nicoi.gr1+gr2
T148	nicoi.gr1+gr2
T149	nicoi.gr1+gr2
T151	nicoi.gr1+gr2
T152	nicoi.gr1+gr2
T153	nicoi.gr1+gr2
T09282a	anthrax
T09399a	anthrax
T09841a	anthrax
T09842a	anthrax
T09934a	anthrax
V055a	anthrax
T09512a	dumus
T09536a	dumus
T09949a	dumus
T09951a	dumus
14422a	n.sp.
14482a	n.sp.
14483a	n.sp.
14484a	n.sp.
14485a	n.sp.
P161a	n.sp.
P162a	n.sp.
P18038a	nicoi.gr1+gr2
P18043a	nicoi.gr1+gr2
P18073a	nicoi.gr1+gr2
P4647a	nicoi.gr1+gr2
T027a	nicoi.gr1+gr2
T078a	nicoi.gr1+gr2
T148a	nicoi.gr1+gr2
T149a	nicoi.gr1+gr2
T151a	nicoi.gr1+gr2
T152a	nicoi.gr1+gr2
T153a	nicoi.gr1+gr2
T09282b	anthrax
T09399b	anthrax
T09841b	anthrax
T09842b	anthrax
T09934b	anthrax
V055b	anthrax
T09512b	dumus
T09536b	dumus
T09949b	dumus
T09951b	dumus
14422b	n.sp.
14482b	n.sp.
14483b	n.sp.
14484b	n.sp.
14485b	n.sp.
P161b	n.sp.
P162b	n.sp.
P18038b	nicoi.gr1+gr2
P18043b	nicoi.gr1+gr2
P18073b	nicoi.gr1+gr2
P4647b	nicoi.gr1+gr2
T027b	nicoi.gr1+gr2
T078b	nicoi.gr1+gr2
T148b	nicoi.gr1+gr2
T149b	nicoi.gr1+gr2
T151b	nicoi.gr1+gr2
T152b	nicoi.gr1+gr2
T153b	nicoi.gr1+gr2
